id,max_stress,max_strain
05-06-2020,1.41816,1.8481
2021-03-18,0.25276,1.8749
2021-03-19-1,0.84466,1.2617
2021-03-19-2,0.72572,1.239425
2021-05-21,0.66132,2.125
2021-06-08-1,1.0506,1.41095
2021-06-08-2,0.8444,1.97755
2021-06-08-3,1.49941428571429,1.34804
2021-06-23,2.057225,1.6988
2021-07-30-1,0.2026,4.4017
2021-07-30-2,3.36191666666667,2.13436363636364
2021-12-08,1.96691428571429,2.743
2022-02-16,0.165155555555556,2.04495
2022-03-07,1.19507142857143,2.6253
2022-04-14-1,1.1612,1.04883333333333
2022-04-14-2,1.0912,1.08156666666667
2022-05-16,0.8382,2.6896
